source_id,ra,dec,parallax,parallax_error,phot_g_mean_mag,bp_rp,distance_pc,abs_mag
7970432804969600,43.013950744606504,6.483050867667685,5.9831623181961335,0.020565048,10.309109,0.70438004,167.13569627866798,4.1937626593729025
8165183801907968,42.99138629914502,6.685241041229733,3.293154747122778,0.016802752,11.843194,0.7830839,303.66019115065814,4.431254702493611
5012712166300160,41.978846607309386,4.2466341799872005,0.3523146930967208,0.060746435,16.61561,0.77181244,2838.371545649589,4.3502639005761665
5024080944170368,41.79013619192901,4.258729858984282,3.454227951952317,0.018594496,11.419501,0.6893759,289.5002917901824,4.1112562756597555
5091602125652480,43.445621602451574,3.9595564639667886,1.9405281188448102,0.015188053,12.781475,0.7557821,515.323632926946,4.221074768044893
5124450035518848,43.7606649885038,4.181536513342671,0.7227893301604003,0.025964973,14.664786,0.748168,1383.5290011518039,3.959845003140888
5187117902726400,43.70560569309482,4.517167039511765,0.46191300490535114,0.03261707,15.317876,0.69104195,2164.909819339047,3.6406768108204695
5478046103025920,42.68667166095233,5.109474097657883,1.6033691672732058,0.018369874,12.766226,0.77732754,623.6866845211108,3.7913934541976015
5552331857465216,43.90924397808179,5.496152747980045,5.497129196337523,0.014774583,9.545124,0.5556059,181.91313398023328,3.245803774436915
1038080711255296,46.611546297422485,2.8659071995668755,0.6746237333080506,0.032343682,14.293612,0.7654247,1482.307767466838,3.4389196046435266
1068931460633216,46.15531270738112,2.948799910999976,7.560666950826443,0.049467895,14.884055,-0.4600687,132.26346385892475,9.276855676177105
1074055357246848,45.90230814716975,2.916546186560168,1.1706717570218435,0.015110717,12.820474,0.52894306,854.2104086836197,3.1626493756229905
1134013100855040,43.55123334223606,1.4239562503968022,0.39156756059879705,0.054002415,16.263447,0.75878716,2553.8377042029974,4.2274803354104336
1205240838454912,43.451298001413186,1.6737663879111317,0.7101504781693373,0.022253945,14.614823,0.67195606,1408.1522589097622,3.8715752604171083
1307117462603392,44.56572354384396,2.2415777114909603,1.0567070403409156,0.014414237,12.962095,0.768425,946.336081642249,3.0818682652823615
